year,month,clt_pct,rsds_wm2
1970,4,56.080647,261.6351
1970,5,43.380558,310.95187
1970,6,37.50186,334.80414
1970,7,26.352335,327.08597
1970,8,23.088783,280.6869
1970,9,19.384687,268.7045
1970,10,18.134733,220.44415
1970,11,44.795906,152.97166
1970,12,49.347908,130.01718
1971,1,41.87114,143.70547
1971,2,57.68668,182.30304
1971,3,38.962345,232.59875
1971,4,30.163515,300.3192
1971,5,43.851517,319.678
1971,6,32.73429,350.33276
1971,7,19.682281,339.36313
1971,8,43.35498,282.61243
1971,9,13.152855,260.3936
1971,10,21.321665,201.53249
1971,11,31.981876,165.9715
1971,12,53.455383,123.557755
1972,1,38.088665,149.67543
1972,2,56.034855,163.79243
1972,3,42.25567,243.05995
1972,4,42.401558,285.22397
1972,5,33.401955,319.61234
1972,6,32.78445,320.14554
1972,7,26.439178,332.4462
1972,8,15.801907,297.59747
1972,9,22.313862,257.59497
1972,10,17.53642,225.597
1972,11,25.163366,167.05551
1972,12,27.296766,145.47044
1973,1,22.370352,159.08493
1973,2,43.630054,185.26616
1973,3,44.7784,227.40392
1973,4,51.27643,263.15723
1973,5,51.48023,297.98755
1973,6,29.739475,341.36957
1973,7,18.278402,332.8067
1973,8,15.400387,315.66992
1973,9,13.109996,269.08743
1973,10,13.084886,218.76262
1973,11,35.00213,168.43202
1973,12,53.503666,122.46662
1974,1,25.48268,153.80692
1974,2,52.86269,172.45926
1974,3,44.650154,238.99428
1974,4,49.929813,297.10986
1974,5,14.741439,346.50635
1974,6,27.085848,358.0344
1974,7,17.33627,335.69388
1974,8,24.295223,283.00577
1974,9,18.849047,274.94293
1974,10,8.275339,222.47588
1974,11,34.198032,160.5902
1974,12,53.178974,124.75192
1975,1,35.110302,140.53848
1975,2,64.81247,148.19502
1975,3,51.26964,219.3899
1975,4,30.2475,296.52438
1975,5,49.780655,306.22812
1975,6,29.081865,335.8079
1975,7,29.19355,313.8334
1975,8,22.421951,292.1248
1975,9,6.9531302,270.35327
1975,10,15.560444,228.02559
1975,11,25.169794,160.46445
1975,12,37.94071,138.81525
1976,1,55.56546,142.37123
1976,2,30.873762,202.73729
1976,3,28.096123,259.3195
1976,4,40.854813,281.0356
1976,5,42.458126,313.75128
1976,6,47.80656,332.3666
1976,7,35.771656,323.61615
1976,8,25.869484,297.2737
1976,9,11.400768,277.98938
1976,10,23.020197,205.96402
1976,11,43.659782,142.9893
1976,12,56.27836,106.3622
1977,1,47.485123,142.72287
1977,2,76.94698,144.84042
1977,3,63.490837,203.39183
1977,4,45.322205,264.63324
1977,5,59.32995,293.6123
1977,6,28.190506,340.77426
1977,7,24.02418,340.36307
1977,8,17.991219,301.7124
1977,9,31.521835,238.90321
1977,10,21.676273,213.72232
1977,11,51.775043,152.59889
1977,12,58.374996,114.08105
1978,1,37.08241,137.06369
1978,2,72.09256,148.04301
1978,3,64.41982,189.70563
1978,4,41.12237,282.96143
1978,5,59.874424,271.95404
1978,6,36.745502,330.5796
1978,7,25.454308,336.45856
1978,8,7.057893,313.50858
1978,9,17.307482,258.1853
