year,month,temp_c,precip_mm
1967,3,13.2333,56.8585
1967,4,13.5887,21.9781
1967,5,14.8044,7.2363
1967,6,17.5146,2.3765
1967,7,24.656,0.5717
1967,8,23.3581,0.5359
1967,9,23.752,39.4069
1967,10,17.2713,0.5081
1967,11,12.837,41.2964
1967,12,11.5707,85.7563
1968,1,11.669,6.4717
1968,2,10.1429,133.2912
1968,3,11.9518,26.4271
1968,4,15.8582,2.3536
1968,5,17.865,11.0807
1968,6,19.1311,1.6753
1968,7,22.2998,1.0279
1968,8,23.8354,1.108
1968,9,23.8135,20.3236
1968,10,19.6595,27.6797
1968,11,14.2666,15.6316
1968,12,11.6214,3.57
1969,1,12.679,11.0137
1969,2,12.9133,1.2877
1969,3,13.4921,36.3387
1969,4,13.2455,11.3633
1969,5,16.4958,2.0025
1969,6,21.2765,0.3191
1969,7,24.7538,3.2163
1969,8,23.6884,0.5789
1969,9,22.5223,0.286
1969,10,17.9643,0.5103
1969,11,12.8817,0.3004
1969,12,9.5615,25.2131
1970,1,12.2587,37.8725
1970,2,10.7218,111.9279
1970,3,12.8974,8.876
1970,4,13.6349,38.3745
1970,5,17.2809,4.6296
1970,6,17.9148,3.2856
1970,7,22.6616,1.1674
1970,8,26.0292,2.6816
1970,9,20.4315,8.1633
1970,10,16.9728,4.5915
1970,11,12.639,17.9171
1970,12,10.9243,16.8254
1971,1,11.7795,40.2251
1971,2,11.4544,44.2
1971,3,13.3785,23.6136
1971,4,16.3896,12.586
1971,5,16.2886,3.6607
1971,6,19.5968,1.8621
1971,7,22.2389,0.8264
1971,8,22.8296,5.7884
1971,9,25.8618,0.1293
1971,10,18.3272,75.9902
1971,11,12.885,15.0961
1971,12,10.4372,40.6911
1972,1,11.1668,29.2552
1972,2,12.8087,92.5192
1972,3,12.8077,29.8797
1972,4,12.6067,18.8505
1972,5,16.365,5.938
1972,6,18.5493,4.5037
1972,7,20.1477,2.7596
1972,8,23.2114,1.1741
1972,9,20.8894,16.8329
1972,10,19.2971,0.1363
1972,11,13.1443,37.1092
1972,12,13.062,3.7945
1973,1,12.5032,9.7637
1973,2,11.2204,29.9575
1973,3,13.9284,64.6719
1973,4,15.2145,19.7053
1973,5,17.0808,46.5235
1973,6,19.3169,1.5634
1973,7,24.1095,0.9784
1973,8,22.7358,0.6271
1973,9,23.5319,1.9957
1973,10,19.6512,4.25
1973,11,13.0171,5.9166
