lat,lon,zos_m,year,month
32.5,242.49999999999997,0.1778517,1870,8
32.5,242.49999999999997,0.21059518,1870,9
32.5,242.49999999999997,0.24321626,1870,10
32.5,242.49999999999997,0.23059823,1870,11
32.5,242.49999999999997,0.19212472,1870,12
32.5,242.49999999999997,0.22490987,1871,1
32.5,242.49999999999997,0.21827886,1871,2
32.5,242.49999999999997,0.21187438,1871,3
32.5,242.49999999999997,0.21281451,1871,4
32.5,242.49999999999997,0.21364523,1871,5
32.5,242.49999999999997,0.20284347,1871,6
32.5,242.49999999999997,0.19368811,1871,7
32.5,242.49999999999997,0.21677966,1871,8
32.5,242.49999999999997,0.21328484,1871,9
32.5,242.49999999999997,0.22597578,1871,10
32.5,242.49999999999997,0.18631886,1871,11
32.5,242.49999999999997,0.18760882,1871,12
32.5,242.49999999999997,0.20516415,1872,1
32.5,242.49999999999997,0.21795614,1872,2
32.5,242.49999999999997,0.17845003,1872,3
32.5,242.49999999999997,0.17882036,1872,4
32.5,242.49999999999997,0.18282561,1872,5
32.5,242.49999999999997,0.1787686,1872,6
32.5,242.49999999999997,0.18488732,1872,7
32.5,242.49999999999997,0.18306534,1872,8
32.5,242.49999999999997,0.20696001,1872,9
32.5,242.49999999999997,0.19076084,1872,10
32.5,242.49999999999997,0.18377332,1872,11
32.5,242.49999999999997,0.15328018,1872,12
32.5,242.49999999999997,0.14029412,1873,1
32.5,242.49999999999997,0.14673764,1873,2
32.5,242.49999999999997,0.13505019,1873,3
32.5,242.49999999999997,0.14217155,1873,4
32.5,242.49999999999997,0.14198855,1873,5
32.5,242.49999999999997,0.15362547,1873,6
32.5,242.49999999999997,0.15869233,1873,7
32.5,242.49999999999997,0.17664266,1873,8
32.5,242.49999999999997,0.18563391,1873,9
32.5,242.49999999999997,0.19252746,1873,10
32.5,242.49999999999997,0.1748397,1873,11
32.5,242.49999999999997,0.17335762,1873,12
32.5,242.49999999999997,0.17587852,1874,1
32.5,242.49999999999997,0.18204832,1874,2
32.5,242.49999999999997,0.15886602,1874,3
32.5,242.49999999999997,0.14119612,1874,4
32.5,242.49999999999997,0.15981431,1874,5
32.5,242.49999999999997,0.18529959,1874,6
32.5,242.49999999999997,0.19145477,1874,7
32.5,242.49999999999997,0.1992589,1874,8
32.5,242.49999999999997,0.2132166,1874,9
32.5,242.49999999999997,0.22973576,1874,10
32.5,242.49999999999997,0.19000627,1874,11
32.5,242.49999999999997,0.18024862,1874,12
32.5,242.49999999999997,0.18577139,1875,1
32.5,242.49999999999997,0.19910379,1875,2
32.5,242.49999999999997,0.18138267,1875,3
32.5,242.49999999999997,0.14574933,1875,4
32.5,242.49999999999997,0.14456789,1875,5
32.5,242.49999999999997,0.15817809,1875,6
32.5,242.49999999999997,0.16737038,1875,7
32.5,242.49999999999997,0.18125024,1875,8
32.5,242.49999999999997,0.1930668,1875,9
32.5,242.49999999999997,0.22878692,1875,10
32.5,242.49999999999997,0.15908723,1875,11
32.5,242.49999999999997,0.1356869,1875,12
32.5,242.49999999999997,0.14076076,1876,1
32.5,242.49999999999997,0.17551056,1876,2
32.5,242.49999999999997,0.15502806,1876,3
32.5,242.49999999999997,0.14581677,1876,4
32.5,242.49999999999997,0.13807875,1876,5
32.5,242.49999999999997,0.15581864,1876,6
32.5,242.49999999999997,0.16972172,1876,7
32.5,242.49999999999997,0.17277156,1876,8
32.5,242.49999999999997,0.20221184,1876,9
32.5,242.49999999999997,0.23308212,1876,10
32.5,242.49999999999997,0.2230797,1876,11
32.5,242.49999999999997,0.18723032,1876,12
32.5,242.49999999999997,0.19979127,1877,1
32.5,242.49999999999997,0.18495515,1877,2
32.5,242.49999999999997,0.1474168,1877,3
32.5,242.49999999999997,0.12869439,1877,4
32.5,242.49999999999997,0.14706475,1877,5
32.5,242.49999999999997,0.15729776,1877,6
32.5,242.49999999999997,0.15754947,1877,7
32.5,242.49999999999997,0.17410792,1877,8
32.5,242.49999999999997,0.16209505,1877,9
32.5,242.49999999999997,0.15304732,1877,10
32.5,242.49999999999997,0.15769365,1877,11
32.5,242.49999999999997,0.15365848,1877,12
32.5,242.49999999999997,0.16521601,1878,1
32.5,242.49999999999997,0.19085746,1878,2
32.5,242.49999999999997,0.18638608,1878,3
32.5,242.49999999999997,0.15232345,1878,4
32.5,242.49999999999997,0.16777635,1878,5
32.5,242.49999999999997,0.1828717,1878,6
32.5,242.49999999999997,0.18856698,1878,7
32.5,242.49999999999997,0.19454959,1878,8
32.5,242.49999999999997,0.18810739,1878,9
32.5,242.49999999999997,0.2039169,1878,10
32.5,242.49999999999997,0.18596841,1878,11
32.5,242.49999999999997,0.1940623,1878,12
32.5,242.49999999999997,0.2401669,1879,1
32.5,242.49999999999997,0.2127569,1879,2
32.5,242.49999999999997,0.18740211,1879,3
32.5,242.49999999999997,0.1603136,1879,4
32.5,242.49999999999997,0.16874109,1879,5
32.5,242.49999999999997,0.18773635,1879,6
32.5,242.49999999999997,0.19011506,1879,7
32.5,242.49999999999997,0.18496409,1879,8
32.5,242.49999999999997,0.19058289,1879,9
32.5,242.49999999999997,0.19226946,1879,10
32.5,242.49999999999997,0.19187507,1879,11
32.5,242.49999999999997,0.20156752,1879,12
32.5,242.49999999999997,0.18417063,1880,1
32.5,242.49999999999997,0.17408355,1880,2
32.5,242.49999999999997,0.18244404,1880,3
32.5,242.49999999999997,0.16031213,1880,4
32.5,242.49999999999997,0.14898229,1880,5
32.5,242.49999999999997,0.16492178,1880,6
32.5,242.49999999999997,0.1820738,1880,7
32.5,242.49999999999997,0.18441758,1880,8
32.5,242.49999999999997,0.20324774,1880,9
32.5,242.49999999999997,0.20457329,1880,10
32.5,242.49999999999997,0.18438347,1880,11
32.5,242.49999999999997,0.186064,1880,12
32.5,242.49999999999997,0.17068575,1881,1
32.5,242.49999999999997,0.15341496,1881,2
32.5,242.49999999999997,0.16281907,1881,3
32.5,242.49999999999997,0.15149675,1881,4
32.5,242.49999999999997,0.16492812,1881,5
32.5,242.49999999999997,0.18302187,1881,6
32.5,242.49999999999997,0.19236486,1881,7
32.5,242.49999999999997,0.1735903,1881,8
32.5,242.49999999999997,0.17796548,1881,9
32.5,242.49999999999997,0.1983639,1881,10
32.5,242.49999999999997,0.18447362,1881,11
32.5,242.49999999999997,0.17390528,1881,12
32.5,242.49999999999997,0.18500993,1882,1
32.5,242.49999999999997,0.1659267,1882,2
32.5,242.49999999999997,0.16011629,1882,3
32.5,242.49999999999997,0.16029072,1882,4
32.5,242.49999999999997,0.13599855,1882,5
32.5,242.49999999999997,0.17014,1882,6
32.5,242.49999999999997,0.17922004,1882,7
32.5,242.49999999999997,0.17427045,1882,8
32.5,242.49999999999997,0.16374546,1882,9
32.5,242.49999999999997,0.18221882,1882,10
32.5,242.49999999999997,0.1533635,1882,11
32.5,242.49999999999997,0.14060548,1882,12
32.5,242.49999999999997,0.16482607,1883,1
32.5,242.49999999999997,0.16271196,1883,2
32.5,242.49999999999997,0.14666133,1883,3
32.5,242.49999999999997,0.13589273,1883,4
32.5,242.49999999999997,0.15838946,1883,5
32.5,242.49999999999997,0.16482362,1883,6
32.5,242.49999999999997,0.18591325,1883,7
32.5,242.49999999999997,0.18326601,1883,8
32.5,242.49999999999997,0.19718112,1883,9
32.5,242.49999999999997,0.2043109,1883,10
32.5,242.49999999999997,0.1847848,1883,11
32.5,242.49999999999997,0.18844616,1883,12
32.5,242.49999999999997,0.22295445,1884,1
32.5,242.49999999999997,0.21151012,1884,2
32.5,242.49999999999997,0.18836254,1884,3
32.5,242.49999999999997,0.1519784,1884,4
32.5,242.49999999999997,0.17065394,1884,5
32.5,242.49999999999997,0.17413273,1884,6
32.5,242.49999999999997,0.1896766,1884,7
32.5,242.49999999999997,0.1918435,1884,8
32.5,242.49999999999997,0.17727847,1884,9
32.5,242.49999999999997,0.16510765,1884,10
32.5,242.49999999999997,0.15171972,1884,11
32.5,242.49999999999997,0.13669531,1884,12
32.5,242.49999999999997,0.14060304,1885,1
32.5,242.49999999999997,0.15882999,1885,2
32.5,242.49999999999997,0.14972316,1885,3
32.5,242.49999999999997,0.119246565,1885,4
32.5,242.49999999999997,0.14441682,1885,5
32.5,242.49999999999997,0.15628725,1885,6
32.5,242.49999999999997,0.16803123,1885,7
32.5,242.49999999999997,0.16026103,1885,8
32.5,242.49999999999997,0.14073806,1885,9
32.5,242.49999999999997,0.13539432,1885,10
32.5,242.49999999999997,0.1309876,1885,11
32.5,242.49999999999997,0.12785046,1885,12
32.5,242.49999999999997,0.14365984,1886,1
32.5,242.49999999999997,0.14510566,1886,2
32.5,242.49999999999997,0.1205008,1886,3
32.5,242.49999999999997,0.1354562,1886,4
32.5,242.49999999999997,0.1498519,1886,5
32.5,242.49999999999997,0.15069388,1886,6
32.5,242.49999999999997,0.14768143,1886,7
32.5,242.49999999999997,0.15162045,1886,8
32.5,242.49999999999997,0.17354557,1886,9
32.5,242.49999999999997,0.1769634,1886,10
32.5,242.49999999999997,0.15319829,1886,11
32.5,242.49999999999997,0.17169054,1886,12
32.5,242.49999999999997,0.18395098,1887,1
32.5,242.49999999999997,0.18177304,1887,2
32.5,242.49999999999997,0.16088234,1887,3
32.5,242.49999999999997,0.14133908,1887,4
32.5,242.49999999999997,0.158468,1887,5
32.5,242.49999999999997,0.1542136,1887,6
32.5,242.49999999999997,0.16240582,1887,7
32.5,242.49999999999997,0.15727602,1887,8
32.5,242.49999999999997,0.15413429,1887,9
32.5,242.49999999999997,0.17306577,1887,10
32.5,242.49999999999997,0.16504422,1887,11
32.5,242.49999999999997,0.18074365,1887,12
32.5,242.49999999999997,0.20926774,1888,1
